Date,Open,High,Low,Close,Volume
08/02/12,30.46,30.83,30.25,30.58,2639980
08/01/12,31.05,31.17,30.64,30.69,2738740
07/31/12,30.99,31.27,30.84,30.88,2662853
07/30/12,31.89,31.95,30.92,31.01,4261193
07/27/12,31.26,32,31.17,31.9,3312890
07/26/12,30.85,31.41,30.49,30.94,3644222
07/25/12,30.06,30.52,29.98,30.33,3003612
07/24/12,30.67,30.75,29.81,30.02,2866346
07/23/12,30.81,30.82,30.23,30.64,2689717
07/20/12,31.93,32.05,31.35,31.38,4063476
07/19/12,31.51,32.11,31.41,31.88,3645657
07/18/12,30.65,31.57,30.55,31.43,3124336
07/17/12,30.71,30.71,29.98,30.65,3313913
07/16/12,30.65,30.65,30.24,30.4,1879587
07/13/12,30.18,30.78,30.06,30.65,2718954
07/12/12,30.11,30.31,29.52,30.14,4716788
07/11/12,30.51,30.51,29.97,30.2,2611675
07/10/12,30.7,30.88,30.21,30.44,4084634
07/09/12,31.29,31.53,30.4,30.43,5342899
07/06/12,32.2,32.48,31.22,31.37,5272691
07/05/12,32.22,32.68,32.19,32.53,2972908
07/03/12,32.01,32.51,32.01,32.51,2107779
07/02/12,31.86,32.25,31.86,32.19,3895762
06/29/12,31.74,32.37,31.68,32.37,4450989
06/28/12,31.26,31.37,30.75,31.17,2887784
06/27/12,31.28,31.55,31.1,31.41,1960213
06/26/12,30.9,31.2,30.71,31.07,2208517
06/25/12,31.26,31.36,30.8,30.84,2595363
06/22/12,31.4,31.74,31.19,31.56,7841669
06/21/12,31.82,31.94,31.13,31.23,7167084
06/20/12,30.68,32.49,30.38,31.99,18926332
06/19/12,32.84,33.19,32.67,32.89,6721221
06/18/12,32.27,32.68,32.08,32.63,4579476
06/15/12,31.75,32.42,31.44,32.39,5442520
06/14/12,31.35,31.84,31.13,31.67,6732612
06/13/12,31.65,32.09,31.54,31.79,4140986
06/12/12,31.34,31.78,31.2,31.77,3305687
06/11/12,31.9,31.95,31.09,31.13,3811369
06/08/12,31.25,31.69,31.2,31.65,3095812
06/07/12,32.06,32.12,31.24,31.32,4293092
06/06/12,30.91,31.72,30.67,31.69,3092778
06/05/12,30.19,30.74,30.19,30.7,2263736
06/04/12,29.88,30.62,29.88,30.31,3668012
